parent,node,branch.length,label,Species,Habitat,Water_Type,MatchSpecies,MatchGenus,CBL_med,CBL_max,d_med,alphaAnt_med,alphaAnt_max,alphaPos_med,alphaPos_max,DAnt_med,DAnt_max,DPos_med,DPos_max,dBW_med,dBW_max,DAntBW_med,DAntBW_max,DPosBW_med,DPosBW_max,d_mid,CBL_mid,alphaAnt_mid,DPos_mid,DAnt_mid,DAntBW_mid,DPosBW_mid,d_slope,CBL_slope,alphaPos_slope,alphaAnt_slope,DPos_slope,DAnt_slope,dBW_slope,DAntBW_slope,DPosBW_slope,d_quad,CBL_quad,alphaPos_quad,alphaAnt_quad,DPos_quad,DAnt_quad,dBW_quad,DAntBW_quad,DPosBW_quad,d_order,CBL_order,alphaPos_order,alphaAnt_order,DPos_order,DAnt_order,dBW_order,DAntBW_order,DPosBW_order,Family,Tip,compare,var,value,change
129,48,31.9,Echeneidae_Remora_osteochir_australis_E00503,Remora_remora,benthic,marine,osteochir,Remora,0.03215,0.0362,0.00165,52.0248,57.6151,53.18815,54.6796,0.0148,0.0152,0.01424999999999999,0.0149,0.0112002945,0.012648291,0.101114507,0.103862122,0.097361183,0.10165309,0.00127857142857142,0.03440714285714286,50.587628571428525,0.01367857142857142,0.0149142857142857,0.1019463096428571,0.0936134509285714,0.01289285714285713,0.01039285714285715,86.29328571428569,177.85442857142837,0.02317857142857145,0.04764285714285717,0.08563596964285705,0.3266019453571426,0.15888747035714287,-0.01107142857142856,NA,-82.61166666666665,-147.83999999999986,-0.01964285714285716,-0.03523809523809526,-0.07305343690476185,-0.24164249642857125,-0.13424284166666667,2,1,2,2,2,2,2,2,2,Echeneidae,1047,b-p,alphaPos_mid,47.52414285714285,increase
129,47,31.9,Coryphaenidae_Coryphaena_hippurus_E00937,Coryphaena_hippurus,pelagic,marine,hippurus,Coryphaena,0.0287,0.0307,0.002,70.26425,86.9286,66.78975,72.4049,0.0168,0.0286,0.01605,0.0211,0.0242508365,0.028170164,0.2036825345,0.34669715,0.194578264,0.256307667,0.00177142857142857,0.0226142857142857,72.06205714285714,0.01786428571428571,0.02113571428571429,0.25610353542857145,0.21675862285714295,NA,0.15057142857142816,195.3636071428565,NA,-0.02803571428571416,-0.05646428571428542,NA,-0.6846283035714246,-0.3446616699999988,NA,-0.13690476190476158,-210.6951190476185,NA,0.0286904761904761,0.06107142857142835,NA,0.7400257380952351,0.3519812452380943,0,2,2,0,2,2,0,2,2,Coryphaenidae,1046,b-p,alphaPos_mid,50.96407857142856,increase
135,52,79.926452,Serranidae_Cephalopholis_argus_E00868,Cephalopholis_argus,benthic,marine,argus,Cephalopholis,0.0384,0.041,0.0023,61.34735,78.0723,57.6053,64.0797,0.02105,0.0229,0.0184,0.021,0.015101104,0.018520235,0.13639293800000002,0.148383218,0.1192832915,0.13593028,0.00253571428571428,0.03740714285714286,60.369635714285714,0.01724999999999999,0.01936428571428571,0.1254891541428571,0.11182403750000004,0.0201071428571428,0.06239285714285737,-267.6926071428567,-19.34503571428569,-0.06167857142857127,0.04382142857142856,0.13124323821428546,0.282459709285714,-0.399144305357142,-0.01392857142857139,-0.05297619047619064,193.18202380952349,NA,0.04035714285714274,-0.03916666666666666,-0.09079701785714268,-0.2523695214285713,0.26151752023809466,2,2,2,1,2,2,2,2,2,Serranidae,1189,b-d,alphaPos_mid,56.79940714285715,decrease
135,51,79.92645399999999,Serranidae_Diplectrum_formosum_E01002,Diplectrum_formosum,demersal,marine,formosum,Diplectrum,0.0395,0.0414,0.00109999999999999,64.63785,81.5709,60.102450000000005,68.6061,0.01979999999999999,0.021,0.01995,0.0223,0.005286494,0.008010707,0.098132013,0.103946503,0.0990065745,0.110456622,0.00102428571428571,0.04040476190476191,53.12057904761907,0.01883809523809524,0.01798071428571428,0.08910968595714283,0.09344561882857144,0.01350714285714288,0.00914285714285712,-28.63945714285719,-63.38602857142861,-0.00785714285714286,0.04242499999999988,0.07008552746428591,0.20947683292857144,-0.03889742114285724,-0.01107142857142859,NA,NA,NA,NA,-0.03982142857142852,-0.05725877321428589,-0.1966773892857144,NA,2,1,1,1,1,2,2,2,1,Serranidae,1170,b-d,alphaPos_mid,56.02863142857144,decrease
140,57,2.281334,Pholidae_Pholis_crassispina_G01437,Apodichthys_flavidus,benthic,marine,crassispina,Pholis,0.01435,0.0153,0.00105,91.48065,97.7826,65.4859,71.6535,0.0083,0.009,0.0097,0.0103,0.0197141615,0.023076818,0.16043782499999998,0.175116979,0.1878312485,0.200044361,0.0010125,0.01304821428571428,88.56763333333332,0.00842857142857142,0.00741488095238095,0.14334804282738095,0.1630344809880952,NA,0.00951785714285715,41.72376190476186,-15.262666666666629,0.01371428571428574,0.00411309523809524,NA,0.0857229297023814,0.2684151234523812,NA,-0.01208333333333334,-43.82071428571425,NA,-0.01500000000000003,-0.0068452380952381,NA,-0.13818454464285754,-0.29320374166666696,0,2,2,1,2,2,0,2,2,Pholidae,1248,b-d,alphaPos_mid,63.6325119047619,decrease
140,56,2.281334,Pholidae_Pholis_ornata_N01732,Pholis_laeta,demersal,marine,ornata,Pholis,0.0163,0.0172,0.001,90.15305,98.4982,54.26075,60.6636,0.00854999999999999,0.009,0.0098,0.0105,0.017860255,0.028261639,0.153006642,0.161778302,0.1755745765,0.187457823,6.982142857142844e-4,0.01547738095238094,90.45096249999996,0.00915833333333333,0.00773869047619047,0.13886982247619042,0.16889990562499996,0.00891071428571428,0.01338095238095245,NA,NA,0.01033333333333337,0.0077797619047619,0.1603024533333333,0.1407640515476199,NA,-0.00839285714285714,-0.01357142857142863,NA,NA,-0.01000000000000003,-0.00875,-0.15056359523809523,-0.1568634488095245,NA,2,2,0,0,2,2,2,2,0,Pholidae,1247,b-d,alphaPos_mid,54.68515,decrease
146,62,80.46514900000001,Ogcocephalidae_Halieutichthys_aculeatus_E01122,Halieutichthys_aculeatus,benthic,marine,aculeatus,Halieutichthys,0.0487,0.0705,3e-4,49.043099999999995,73.8169,52.366,83.0822,0.02055,0.0214,0.01975,0.0242,0.00037782100000000003,9.98e-4,0.0249493035,0.026039131,0.024006798,0.029477448,3.666666666666667e-4,0.03791047619047622,60.17216857142856,0.01749333333333334,0.01967857142857142,0.02392685789285714,0.02128340872380953,NA,-0.08248571428571434,81.0405142857143,61.19345714285715,-0.0136,0.02746428571428542,NA,0.03416018339285696,-0.01656623628571429,NA,NA,NA,NA,NA,-0.02464285714285695,NA,-0.03052556964285703,NA,0,1,1,1,1,2,0,2,1,Ogcocephalidae,1376,b-d,alphaPos_mid,66.4947438095238,decrease
146,63,80.46514799999999,Monacanthidae_Stephanolepis_hispidus_E00646,Stephanolepis_hispidus,demersal,marine,hispidus,Stephanolepis,0.0552,0.0567,0.0029,72.9726,86.2852,64.8267,67.713,0.0293,0.0331,0.0323,0.0339,0.009799386,0.021205191,0.100362379,0.11338963,0.110680355,0.116286585,0.00464285714285712,0.05483,63.50447,0.02905428571428569,0.02683,0.09205998869999998,0.0995920526285714,0.14570000000000097,0.01989999999999999,220.61820000000313,-70.09650000000002,0.13160000000000127,-0.01949999999999999,0.4969139810000036,-0.06628099099999991,0.4526497460000029,-0.09928571428571498,NA,-194.1414285714307,NA,-0.11142857142857232,NA,-0.3384688785714311,NA,-0.3831020428571449,2,1,2,1,2,1,2,1,2,Monacanthidae,1429,b-d,alphaPos_mid,57.08123428571426,decrease
148,66,92.200002,Sciaenidae_Pareques_acuminatus_E01050,Equetus_lanceolatus,demersal,marine,acuminatus,Pareques,0.0412,0.0415,7e-4,42.1031,65.004,40.239,42.7697,0.0149,0.0156,0.0136,0.0148,0.004568004,0.013239243,0.1002989315,0.105231294,0.0914124035,0.099874061,6.571428571428571e-4,0.04229285714285713,37.442600000000056,0.01360714285714286,0.01481428571428571,0.09989878314285716,0.0917062365,NA,0.1343214285714287,-415.40374999999955,-457.71078571428455,-0.0518214285714285,NA,NA,NA,-0.3525919310714271,NA,-0.089404761904762,314.22535714285686,319.5428571428563,0.0434523809523809,NA,NA,NA,0.29547825119047516,0,2,2,2,2,0,0,0,2,Sciaenidae,1536,d-p,alphaPos_mid,37.3106928571429,increase
148,65,92.2,Chaetodontidae_Hemitaurichthys_polylepis_E00240,Hemitaurichthys_polylepis,pelagic,marine,polylepis,Hemitaurichthys,0.0412,0.042,5e-4,73.53585000000001,75.8472,70.52019999999999,72.0396,0.02365,0.0247,0.0242,0.0249,0.004201753,0.006225759,0.192580828,0.201223625,0.197199348,0.203186564,6.714285714285715e-4,0.04087142857142857,74.44125714285713,0.02362142857142856,0.02412857142857142,0.19663774792857147,0.1925601944285714,0.001,0.1001428571428572,NA,NA,0.06024999999999999,0.04835714285714282,0.00773225107142856,0.3916328153571425,0.4880454114285704,NA,-0.07738095238095243,NA,NA,-0.04773809523809523,-0.03499999999999997,NA,-0.28281048690476157,-0.38675812380952296,1,2,0,0,2,2,1,2,2,Chaetodontidae,1514,d-p,alphaPos_mid,69.48237142857143,increase
