Species,MatchGenus,MatchSpecies,Family,Indiv,Pos,SL,CBL_old_raw,alpha_Pos_raw,d_raw,D_Pos_raw,alpha_Ant_raw,D_Ant_raw,CBL_old,alphaPos,d,DPos,alphaAnt,DAnt,Pt1x,Pt1y,Pt2x,Pt2y,Pt3x,Pt3y,Pt4x,Pt4y,Pt5x,Pt5y,Pt6x,Pt6y,Pt7x,Pt7y,BodyShape,Habitat_Initial,Habitat_Friedman,Habitat_FishBase,Habitat,Water_Type,Max_BW_mm,BW_slide,Max_BH_mm,BH_slide,dBW,DPosBW,DAntBW,fineness,d_normCBL,Scan Media Number,DOI,ARK,URL,Website,Scan Source,Match species reference,CBL_raw,CBL,d_normD,Iratio,d_ctr,CBL_ctr,alphaAnt_ctr,alphaPos_ctr,DAnt_ctr,DPos_ctr,dBW_ctr,DAntBW_ctr,DPosBW_ctr,d_normD_ctr,d_normCBL_ctr,Iratio_ctr
Amia_calva,Amia,calva,NA,1,0.7,1438,31.1,2.01,9.09,26,2.08,27.09,0.0216,114.9213,0.0063,0.0181,119.1965,0.0188,762.495,-113.149,761.946,-139.147,778.4,-112.711,778.51,-139.805,770.509,-126.515,770.679,-130.807,770.453,-121.715,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.04249831,0.121510794,0.126606154,6.71950057,0.5580338168714785,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA,16.23449999999997,0.0112896383866481,0.3414634146341463,0.9864050781364737,0.0046,-0.01038292172650606,46.891099999999994,49.8771,0.0025000000000000022,0.0022000000000000006,0.029962195999999996,0.013153874999999995,0.005827727000000005,0.2235272966980284,0.4806699200233409,-0.0134014635878138
Amia_calva,Amia,calva,NA,1,0.8,1438,24.33,2.47,10.11,22.45,2.47,23.84,0.0169,141.4651,0.007,0.0156,141.7749,0.0166,624.746,-115.449,624.943,-137.894,633.249,-114.658,632.557,-138.488,628.768,-126.736,628.707,-131.551,628.828,-121.44,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.047250163,0.104885257,0.111399999,6.71950057,1.2491158404169453,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA,8.058500000000038,0.005603963838664838,0.4347826086956522,0.9642654221504354,0.0056,-0.015591099855602707,70.7502,73.7073,7.999999999999986e-4,5.999999999999998e-4,0.03538454,2.3562200000000477e-4,-0.005600109000000006,0.32284231018818954,1.1774626066839002,-0.03557756115059285
Amia_calva,Amia,calva,NA,1,0.9,1438,20.92,2.45,8.51,19.93,2.5,20.75,0.0145,140.416,0.0059,0.0139,143.0377,0.0144,490.964,-111.291,489.285,-131.151,498.177,-110.896,496.201,-131.547,493.739,-120.88,493.807,-124.759,494.011,-116.252,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.039763021,0.093133056,0.096938944,6.71950057,1.200962559275248,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA,7.0645000000000095,0.00491272600834493,0.4169611307420495,0.969773888008717,0.0047,-0.015212390705007106,74.8691,70.6689,-5.999999999999998e-4,-0.0010000000000000009,0.031527721,-0.006138353999999999,-0.01378534699999999,0.3201869371936624,1.1348726855222682,-0.030138404186046297
Anoplogaster_cornuta,Anoplogaster,cornuta,NA,1,0.3,1242.177,45.22,1.11,1.49,24.92,1.34,26.09,0.0364,63.749,0.0012,0.0201,76.5937,0.021,403.809,45.5212,405.786,20.6832,367.973,42.9262,368.838,16.8524,384.811,31.7166,384.777,32.4928,384.912,31.0079,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.006052266,0.101139627,0.105895259,5.042162219,0.04095989228401846,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA,36.391999999999996,0.029296952044676403,0.058394160583941604,0.9999883727320913,-3.0000000000000014e-4,0.010545424549768142,-5.820499999999996,-9.4116,0.006300000000000002,0.0046,-0.006368904000000001,-0.020605081999999983,-0.028124480999999993,-0.0295179273281463,-0.03899860260976097,4.8102988445375416e-5
Anoplogaster_cornuta,Anoplogaster,cornuta,NA,1,0.4,1242.177,48.94,1,1.55,23.32,1.11,25.01,0.0394,57.5141,0.0013,0.0188,63.6419,0.0201,527.903,59.5854,529.652,36.3264,486.456,54.1642,489.429,29.3312,507.966,44.0211,507.889,44.8108,507.986,43.2602,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.006306396,0.094677935,0.101520268,5.042162219,0.03954524550018363,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA,40.835000000000036,0.03287373699561338,0.06683804627249357,0.9999800430124414,-2.000000000000001e-4,0.011712902540700846,-14.409399999999998,-10.865899999999996,0.0045000000000000005,0.003100000000000002,-0.004616100000000001,-0.018086738000000005,-0.029745810999999997,-0.03316195372750644,-0.03515098347926741,8.004301244135537e-5
Anoplogaster_cornuta,Anoplogaster,cornuta,NA,1,0.6,1242.177,44.09,0.93,1.65,21.46,1.3,25.03,0.0355,53.2013,0.0013,0.0173,74.7481,0.0201,774.69,74.4668,766.146,54.7783,739.585,90.6262,731.227,67.0371,750.447,72.3644,750.668,73.1733,750.19,71.5923,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.006704387,0.087118969,0.101583965,5.042162219,0.04612218953501656,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA,35.012,0.028185999257754734,0.0695187165775401,0.999976643541985,-5e-4,0.006248014761630699,2.3142999999999887,-13.601500000000001,0.004,0.0013999999999999985,-0.005620377,-0.010853890000000005,-0.03118423499999999,-0.05073444797942192,-0.025834829667052896,1.857589607693333e-4
Anoplogaster_cornuta,Anoplogaster,cornuta,NA,1,0.7,1242.177,44.28,1.1,1.01,23.47,1.19,24.54,0.0356,62.8999,8e-4,0.0189,68.0663,0.0198,887.474,32.5723,881.336,9.92111,852.693,43.971,844.802,20.7352,866.017,26.7128,866.116,27.2354,865.917,26.2401,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.004120017,0.095260127,0.099607718,5.042162219,0.02786907663184461,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA,35.65750000000003,0.028705651449028625,0.041343669250646,0.9999970782969727,-8.999999999999999e-4,0.007033091335874465,-4.239100000000008,-2.144300000000001,0.003500000000000003,0.002999999999999999,-0.008416096999999999,-0.013844561000000005,-0.02042294,-0.07659244868547194,-0.04949482021629295,1.9053657268519597e-4
Anoplogaster_cornuta,Anoplogaster,cornuta,NA,1,0.8,1242.177,43.08,1.05,0.84,21.97,1.18,23.31,0.0347,60.4094,7e-4,0.0177,67.4429,0.0188,1000.29,11.3158,997.185,-10.4337,964.296,16.5446,961.094,-6.54898,979.993,2.58729,980.017,2.14443,979.97,2.98353,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.003411358,0.089179243,0.094636696,5.042162219,0.02412496081015474,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA,36.042499999999905,0.029015591175814644,0.03835616438356164,0.9999978355842533,-7e-4,0.007820527481547098,-3.581800000000001,-7.348400000000005,0.002999999999999999,0.002700000000000001,-0.008454265,-0.01652768099999999,-0.021306122999999996,-0.07358413412390105,-0.04752827292289026,1.5485228322498212e-4
Anoplogaster_cornuta,Anoplogaster,cornuta,NA,1,0.9,1242.177,35.73,1.15,0.9,19.92,1.2,19.81,0.0288,65.7786,7e-4,0.016,68.6289,0.016,1135.9,1.75363,1136.03,-18.1647,1106.62,2.67699,1105.56,-17.1094,1120.6,-7.34812,1120.63,-7.74522,1120.57,-6.84451,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.003664205,0.080852882,0.080430767,5.042162219,0.02910540251046014,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA,29.875000000000114,0.024050517760351477,0.04375,0.999996336364746,-4.999999999999999e-4,0.003925401046999441,0.4603000000000037,-3.968500000000006,0.0010000000000000009,0.0011000000000000003,-0.004571094999999999,-0.022646530999999998,-0.026065520999999994,-0.0530241935483871,-0.036984471242519606,8.404416998275543e-5
Aphareus_furca,Aphareus,furca,NA,1,0.4,1061.317,31.59,1.25,0.72,23.37,1.36,23.49,0.0298,71.6108,7e-4,0.022,77.8479,0.0221,491.598,-150.312,488.465,-127.149,458.847,-130.946,460.271,-154.394,474.036,-141.294,474.041,-141.643,474.014,-140.923,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.003402706,0.110387129,0.110940991,5.012241139,0.024380077118713595,M39899-72047,NA,ark:/87602/m4/M72047,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/39899,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA,30.472499999999997,0.02871196824322987,0.031746031746031744,0.9999989843179323,-8e-4,0.00755113378831734,-0.20340000000000202,3.230800000000002,0.006500000000000002,0.0063,-0.00751979,-0.008666015,-0.014036617000000001,-0.06825396825396826,-0.05031615186073744,9.898431793231577e-5
