Species,En_Max,Body_part ,Corresponding_d,Body_percentage
Abramis_brama,0.47,5,0.0008,0.9
Alosa_pseudoharengus,0.34,5,0.0031,0.9
Coryphaena_hippurus,0.75,5,0.0006,0.9
Engraulis_mordax,0.35,5,0.0031,0.9
Hirundichthys_rondeletii,0.59,5,0,0.9
Scomber_japonicus,0.52,5,0.0022,0.9
Sphyraena_sphyraena,0.61,5,0.0022,0.9
Trachurus_trachurus,0.43,4,0.0009,0.7
Xiphophorus_hellerii,0.58,5,0.0005,0.9
